EMPNO,ENAME,JOB,HIREDATE,SALARY,DEPTNO
7369,SMITH,CLERK,1980-12-17,800,20
7499,ALLEN,SALESMAN,1981-02-20,1600,30
7521,WARD,SALESMAN,1981-02-22,1250,30
7566,JONES,MANAGER,1981-04-02,2975,20
7654,MARTIN,SALESMAN,1981-09-28,1250,30
7698,BLAKE,MANAGER,1981-05-01,2850,30
7782,CLARK,MANAGER,1981-06-09,2450,10
7788,SCOTT,ANALYST,1982-12-09,3000,20
7839,KING,PRESIDENT,1981-11-17,5000,10
7844,TURNER,SALESMAN,1981-09-08,1500,30
7876,ADAMS,CLERK,1983-01-12,1100,20
7900,JAMES,CLERK,1981-12-03,950,30
7902,FORD,ANALYST,1981-12-03,3000,20
7934,MILLER,CLERK,1982-01-23,1300,10
